Date,DMI
01-01-1901,-0.354
01-02-1901,-0.679
01-03-1901,-0.554
01-04-1901,-0.317
01-05-1901,-0.333
01-06-1901,-0.401
01-07-1901,-0.393
01-08-1901,-0.526
01-09-1901,-0.639
01-10-1901,-0.392
01-11-1901,-0.466
01-12-1901,-0.44
01-01-1902,-0.272
01-02-1902,-0.26
01-03-1902,-0.067
01-04-1902,0.254
01-05-1902,0.168
01-06-1902,0.118
01-07-1902,0.24
01-08-1902,0.629
01-09-1902,0.584
01-10-1902,0.135
01-11-1902,0.213
01-12-1902,-0.042
01-01-1903,-0.294
01-02-1903,-0.382
01-03-1903,-0.202
01-04-1903,-0.424
01-05-1903,-0.044
01-06-1903,-0.122
01-07-1903,-0.293
01-08-1903,-0.143
01-09-1903,-0.3
01-10-1903,-0.652
01-11-1903,-0.356
01-12-1903,-0.203
01-01-1904,-0.03
01-02-1904,-0.042
01-03-1904,-0.047
01-04-1904,0.174
01-05-1904,-0.037
01-06-1904,-0.07
01-07-1904,0.037
01-08-1904,-0.109
01-09-1904,-0.292
01-10-1904,0.139
01-11-1904,-0.078
01-12-1904,-0.407
01-01-1905,-0.406
01-02-1905,-0.186
01-03-1905,-0.305
01-04-1905,-0.264
01-05-1905,0.021
01-06-1905,-0.236
01-07-1905,0.047
01-08-1905,0.078
01-09-1905,0.403
01-10-1905,-0.096
01-11-1905,-0.176
01-12-1905,-0.331
01-01-1906,-0.414
01-02-1906,-0.3
01-03-1906,-0.342
01-04-1906,-0.582
01-05-1906,-0.199
01-06-1906,-0.171
01-07-1906,-0.668
01-08-1906,-0.772
01-09-1906,-1.232
01-10-1906,-0.624
01-11-1906,-0.522
01-12-1906,-0.112
01-01-1907,-0.178
01-02-1907,0.004
01-03-1907,0.122
01-04-1907,-0.165
01-05-1907,-0.084
01-06-1907,-0.132
01-07-1907,-0.284
01-08-1907,-0.633
01-09-1907,-0.14
01-10-1907,-0.03
01-11-1907,-0.117
01-12-1907,0.009
01-01-1908,-0.206
01-02-1908,-0.16
01-03-1908,-0.088
01-04-1908,-0.584
01-05-1908,-0.014
01-06-1908,0.251
01-07-1908,-0.278
01-08-1908,-0.159
01-09-1908,0.06
01-10-1908,-0.091
01-11-1908,-0.229
01-12-1908,-0.347
01-01-1909,-0.536
01-02-1909,-0.303
01-03-1909,-0.377
01-04-1909,-0.239
01-05-1909,-0.576
01-06-1909,-0.698
01-07-1909,-0.707
01-08-1909,-0.685
01-09-1909,-0.531
01-10-1909,-0.345
01-11-1909,-0.145
01-12-1909,-0.016
01-01-1910,-0.363
01-02-1910,0.014
01-03-1910,-0.324
01-04-1910,-0.186
01-05-1910,-0.308
01-06-1910,-0.244
01-07-1910,-0.713
01-08-1910,-0.511
01-09-1910,-0.632
01-10-1910,-0.661
01-11-1910,-0.406
01-12-1910,-0.058
01-01-1911,0.005
01-02-1911,-0.306
01-03-1911,-0.562
01-04-1911,-0.539
01-05-1911,-0.214
01-06-1911,-0.6
01-07-1911,-0.451
01-08-1911,-0.289
01-09-1911,-0.157
01-10-1911,-0.283
01-11-1911,0.031
01-12-1911,0.076
01-01-1912,-0.077
01-02-1912,-0.115
01-03-1912,0.106
01-04-1912,-0.062
01-05-1912,0.151
01-06-1912,0.21
01-07-1912,-0.352
01-08-1912,-0.465
01-09-1912,-0.34
01-10-1912,-0.222
01-11-1912,-0.463
01-12-1912,-0.265
01-01-1913,-0.051
01-02-1913,0.051
01-03-1913,0.026
01-04-1913,-0.071
01-05-1913,0.028
01-06-1913,0.31
01-07-1913,-0.029
01-08-1913,-0.184
01-09-1913,-0.085
01-10-1913,0.241
01-11-1913,0.021
01-12-1913,-0.023
01-01-1914,-0.101
01-02-1914,0.01
01-03-1914,-0.184
01-04-1914,-0.039
01-05-1914,0.113
01-06-1914,0.754
01-07-1914,0.397
01-08-1914,0.263
01-09-1914,0.316
01-10-1914,0.314
01-11-1914,-0.297
01-12-1914,-0.48
01-01-1915,-0.443
01-02-1915,-0.505
01-03-1915,-0.233
01-04-1915,-0.087
01-05-1915,-0.275
01-06-1915,0.016
01-07-1915,-0.388
01-08-1915,-0.136
01-09-1915,0.008
01-10-1915,0.063
01-11-1915,0.04
01-12-1915,0.207
01-01-1916,0.056
01-02-1916,0.155
01-03-1916,0.231
01-04-1916,0.333
01-05-1916,0.063
01-06-1916,-0.186
01-07-1916,-0.367
01-08-1916,-0.542
01-09-1916,-0.867
01-10-1916,-0.578
01-11-1916,-0.441
01-12-1916,-0.049
01-01-1917,0.158
01-02-1917,0.133
01-03-1917,0.083
01-04-1917,-0.036
01-05-1917,-0.181
01-06-1917,-0.126
01-07-1917,-0.273
01-08-1917,-0.127
